index	title	subtitle	asset_id	link
694	"EXAMPLE 7 LIVING ROOM CABINETS (Standardized unit furniture ""Hellerau Series 026"")"	Franz Ehrlich	dgE0bBJbYZFSZg	https://artsandculture.google.com/asset/example-7-living-room-cabinets-standardized-unit-furniture-hellerau-series-026-franz-ehrlich/dgE0bBJbYZFSZg
693	"LIVING ROOM (Standardized unit furniture ""Hellerau Series 026"")"	Franz Ehrlich	awHvnQBPB0wYMw	https://artsandculture.google.com/asset/living-room-standardized-unit-furniture-hellerau-series-026-franz-ehrlich/awHvnQBPB0wYMw
692	"MODEL 5 D RANGE (Standardized unit furniture ""Hellerau Series 026"")"	Franz Ehrlich	3wF8QmxlYppuDw	https://artsandculture.google.com/asset/model-5-d-range-standardized-unit-furniture-hellerau-series-026-franz-ehrlich/3wF8QmxlYppuDw
691	"SPECIAL MODELS IN A B C RANGES (Standardized unit furniture ""Hellerau Series 026"")"	Franz Ehrlich	XwFuCJOHJZoiCw	https://artsandculture.google.com/asset/special-models-in-a-b-c-ranges-standardized-unit-furniture-hellerau-series-026-franz-ehrlich/XwFuCJOHJZoiCw
690	"MODEL FURNITURE ASSEMBLY 1 DESIGN RANGE B (Standardized unit furniture ""Hellerau Series 026"")"	Franz Ehrlich	GAEPXkwkhbusZQ	https://artsandculture.google.com/asset/model-furniture-assembly-1-design-range-b-standardized-unit-furniture-hellerau-series-026-franz-ehrlich/GAEPXkwkhbusZQ
689	"EXAMPLE 2 STUDY, LIBRARY, INSTITUTE / CABINET AND SHELF RACK (Standardized unit furniture ""Hellerau Series 026"")"	Franz Ehrlich	8wHY7jlcxrDC2Q	https://artsandculture.google.com/asset/example-2-study-library-institute-cabinet-and-shelf-rack-standardized-unit-furniture-hellerau-series-026-franz-ehrlich/8wHY7jlcxrDC2Q
688	BOOK SHELF (View, profile)	Franz Ehrlich	IQG8UR8fbOgZgA	https://artsandculture.google.com/asset/book-shelf-view-profile-franz-ehrlich/IQG8UR8fbOgZgA
687	Untitled (Design for a shelf)	Franz Ehrlich	TQGJE32n3kCzrg	https://artsandculture.google.com/asset/untitled-design-for-a-shelf-franz-ehrlich/TQGJE32n3kCzrg
686	BOOKCASE - SHELF	Franz Ehrlich	jQEKjFslq6_cnw	https://artsandculture.google.com/asset/bookcase-shelf-franz-ehrlich/jQEKjFslq6_cnw
685	Untitled (Design for a wall design with shelves and display cases?)	Franz Ehrlich	UAGwXdfKEy93VQ	https://artsandculture.google.com/asset/untitled-design-for-a-wall-design-with-shelves-and-display-cases-franz-ehrlich/UAGwXdfKEy93VQ
684	Two Designs for Tables with Shelves and Dividers	Anonymous, French, 19th century|Pannier Frères	sAESf-xi6BCZQA	https://artsandculture.google.com/asset/two-designs-for-tables-with-shelves-and-dividers-anonymous-french-19th-century-pannier-fr%C3%A8res/sAESf-xi6BCZQA
683	Untitled (Kitchen cabinet with seven drawers, tall unit and chutes, front view)	Friedrich Engemann	RQFAAS5CTbOzaQ	https://artsandculture.google.com/asset/untitled-kitchen-cabinet-with-seven-drawers-tall-unit-and-chutes-front-view-friedrich-engemann/RQFAAS5CTbOzaQ
682	Untitled (Design sketches for desks and sideboards)	Franz Ehrlich	eQGWwKNtJ5jeCg	https://artsandculture.google.com/asset/untitled-design-sketches-for-desks-and-sideboards-franz-ehrlich/eQGWwKNtJ5jeCg
681	Untitled (4 filing shelves of various heights, depths and widths, arrangement of 16 variants)	Franz Ehrlich	sgFxLGsvtuTftA	https://artsandculture.google.com/asset/untitled-4-filing-shelves-of-various-heights-depths-and-widths-arrangement-of-16-variants-franz-ehrlich/sgFxLGsvtuTftA
680	"""Double Colonnettes"" Table"		GgHeKkEk9wBxdQ	https://artsandculture.google.com/asset/double-colonnettes-table/GgHeKkEk9wBxdQ
679	The Interior of Hall Place, Leigh, near Tonbridge, Kent	Henry Robert Robertson	ggEN7dfoW14Wxg	https://artsandculture.google.com/asset/the-interior-of-hall-place-leigh-near-tonbridge-kent-henry-robert-robertson/ggEN7dfoW14Wxg
678	Rubens de Mendonça House	João Batista Vilanova Artigas	TgF9yZbD4ebUdg	https://artsandculture.google.com/asset/rubens-de-mendon%C3%A7a-house-jo%C3%A3o-batista-vilanova-artigas/TgF9yZbD4ebUdg
677	Cardboard Couch	Humberto Campana	zwGiuyDWMvMinA	https://artsandculture.google.com/asset/cardboard-couch-humberto-campana-and-fernando-campana/zwGiuyDWMvMinA
676	Untitled (Washstand)	Reinhold Rossig	7wHQok2t5kMuEg	https://artsandculture.google.com/asset/untitled-washstand-reinhold-rossig/7wHQok2t5kMuEg
675	Untitled (Desk)	Reinhold Rossig	fgEpx0aQFIydjw	https://artsandculture.google.com/asset/untitled-desk-reinhold-rossig/fgEpx0aQFIydjw
674	Untitled (Bookcase)	Reinhold Rossig	dgEHbN6yllRZog	https://artsandculture.google.com/asset/untitled-bookcase-reinhold-rossig/dgEHbN6yllRZog
673	BEDROOM	Reinhold Rossig	UAEz1TP_CY5yxg	https://artsandculture.google.com/asset/bedroom-reinhold-rossig/UAEz1TP_CY5yxg
